Ft 0,Ft 1,Ft 2,Ft 3,Ft 4,Ft 5,Ft 6,Ft 7,Ft 8,Ft 9,Ft 10,Ft 11,Ft 12,Ft 13,Ft14,Ft15,Ft16,Ft17,mark
1.620967441147124,1.056247538599677,0.1142027558130869,6.175593118323691,5.62578865349519,0.581534732197375,7.360084909672007,68,male,very_low,535.0,True,5,5,0,,car,0,0
1.274493754028349,0.8142882858670298,0.7272095362084925,3.606358986903316,1.493780041320891,7.810749616410687,20.3143349646178,24,female,high,846.0,False,3,1,1,quite rich,car,1,0
0.5699311744689372,1.607169989850748,0.4795809893163463,3.521473851771754,1.663726487826803,2.297903396678516,12.83928196583632,67,male,high,782.0,False,0,0,0,moderate,furniture/equipment,1,0
0.5475604357620267,1.72439337920186,0.6823583885699033,1.809471912329094,10.14972052285897,2.999318904640972,49.10852951517463,42,male,medium,132.0,False,3,3,0,quite rich,car,0,0
1.798883775058423,1.748245352930713,1.045645857574172,1.560427302726273,1.269053255615883,1.403952499762197,5.270950817340907,84,male,very_low,708.0,False,0,0,0,,radio/TV,1,0
0.4708174672035844,1.321192053943911,0.5679418741833404,1.18657703297689,1.791226086920512,2.820070082972481,40.34822601878069,39,male,medium,951.0,True,2,2,0,,repairs,1,0
0.7670301409525563,1.319939752836195,1.590671489075467,0.8585455387945871,1.65479820650201,2.009757560270402,13.60561642339139,25,male,low,305.0,True,3,3,0,rich,car,0,0
1.272277021670103,1.991726340394536,1.026693928478947,0.3380620354101256,0.8548550235814033,0.6624045135790774,1.329155603170185,64,male,high,619.0,True,0,0,0,moderate,business,1,0
1.270759774642342,0.7222051093637675,0.7895439076882128,0.2856419348593279,0.1617092555165512,0.6683149987082606,2.896253013448296,35,male,medium,233.0,True,5,3,0,little,education,0,0
0.8378824784375993,1.165680309256481,1.257213619773969,0.2321416832518127,1.571603768054129,1.178976032018114,6.688588365272938,56,male,high,800.0,False,0,0,0,little,domestic appliances,1,0
1.365935730841522,0.8430437390713,1.317276633696392,4.170500205233991,4.331121585861323,2.348548323048797,7.077323531049833,37,male,medium,659.0,,4,3,0,little,radio/TV,0,0
2.149652372329361,0.7138411002557883,0.7883849181506476,2.676879290780164,4.90384503143716,1.863115660757946,14.50160412496465,46,male,medium,266.0,True,5,2,0,little,furniture/equipment,1,0
1.591560082772702,0.8024305476181373,0.8943619018692609,1.777029489454062,1.320205502284101,0.1730730261834192,7.222119169367348,22,male,high,279.0,True,3,5,0,little,furniture/equipment,1,0
2.138023646974171,0.6082387138914781,0.9183873562148439,0.6279196620549323,10.84305261414027,1.235223438226767,6.299789918776851,65,male,high,132.0,False,2,2,0,,domestic appliances,1,0
1.647218666903646,1.049924460030002,0.4520039114277309,0.3592336321389438,0.3217993265588175,1.116210826626251,5.803720511951362,52,male,very_low,649.0,False,3,3,0,rich,furniture/equipment,1,0
